Title,True_Poss,True_Negs,False_Poss,False_Negs,Precision,Recall,Specifity,F-Score
03 - Une charogne.lab: ,14523,2870,1817,331,0.88880049,0.97771644,0.193213949,0.931140604
05 - A Poings Fermes.lab: ,7067,11204,2467,26,0.741241871,0.996334414,1.579585507,0.85006315
05 - Crepuscule.lab: ,7806,6219,2656,1409,0.746128847,0.847097124,0.674877916,0.79341363
03 - castaway.lab: ,10165,4398,2637,909,0.79401656,0.917915839,0.397146469,0.85148266
05 - 2003-Circonstances attenuantes part II.lab: ,4063,5140,1065,654,0.792316693,0.861352555,1.089675641,0.825393601
04 - Believe.lab: ,9898,3816,1553,83,0.864378657,0.9916842,0.38232642,0.923665547
04 - You are.lab: ,3348,2009,288,137,0.920792079,0.960688666,0.576470588,0.940317371
05 - 16 ans.lab: ,5692,15804,746,108,0.884125505,0.98137931,2.724827586,0.930217356
04 - Healing Luna.lab: ,7804,13106,3394,4064,0.696910163,0.657566566,1.104314122,0.676666956
03 - Say me Good Bye.lab: ,10919,31642,1019,1266,0.914642319,0.896101764,2.596799343,0.905277121
03 - Si Dieu.lab: ,7984,3738,498,439,0.941287432,0.947880803,0.443784875,0.944572612
05 - Elles disent.lab: ,8739,5422,362,2253,0.960224151,0.795032751,0.493267831,0.869855173
05 - Dance.lab: ,6390,2350,748,608,0.895208742,0.913118034,0.335810231,0.904074703
03 - School.lab: ,10290,7567,1500,1039,0.872773537,0.908288463,0.667931856,0.890176911
05 - 05 LIrlandaise.lab: ,5567,6314,2789,340,0.66622786,0.942441171,1.068901304,0.780621188
04 - Inside.lab: ,3179,10056,2533,276,0.556547619,0.920115774,2.910564399,0.693574779
Total,123434,131655,26072,13942,0.82561235,0.898512113,0.834701731,
Total Error,0.135593335,,,,,,,